IDISK CUI,IDISK AUI,TERM,UMLS CUI,MISSINGNESS TYPE,INGREDIENT TYPE,Notes (Optional),IGNORE
NMCD0477349,DA0140785,3beta-hydroxy-androst-4-ene-17-one,C0002845,,,ambiguous,Y
NMCD0477349,DA0140786,3beta-hydroxy-androst-4-en-17-one,,,,ambiguous,Y
NMCD0477349,DA0140787,4-androstene-3beta-ol-17-one,,,,ambiguous,Y
NMCD0477349,DA0140788,4-DHEA,,,,ambiguous,Y
NMCD0477349,DA0140789,4-androstene-3beta-ol,,,,ambiguous,Y
NMCD0477349,DA0140790,Androsterone,"C0002865, C0002865, C0002865, C0002865, C0002865, C0002865, C0002865, C0002865, C0002865, C0002865, C0002865, C0002865, C0002865, C0002865, C0002865, C0002865, C0002865, C0002866, C0002866",,,,
NMCD0477349,DA0140791,4-Androsterone,,,,,
NMCD0477349,DA0140792,17-one,,,,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141928,Kirta,C1256659,SEMANTIC,LIVING BEING,https://hort.purdue.edu/newcrop/CropFactSheets/andrographis.html,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141929,Gubak,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141930,Chuanxinlian,C2605681,,,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141931,Andrographis paniculata extract,C0938426,,,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141932,Chuan Xin Lian,C2605681,LEXICAL,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141933,Kalamegha,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141934,Supari,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141935,Fa-Tha-Lai-Jone,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141936,Andrographis paniculata leaf extract,C0938426,,,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141937,Paractin,C0938426,SEMANTIC,LIVING BEING,,
